ID,EventName,EventDate,StartDate,EndDate,Location,HybridNotes,EventLink,Year
72,HackHolyoke,Nov 7th - 8th,2020-11-07,2020-11-07,2020-11-08,"Everywhere, Worldwide",Digital Only,http://hackholyoke.com/,2021
73,HackNJIT,Nov 7th - 8th,2020-11-07,2020-11-07,2020-11-08,"Everywhere, Worldwide",Digital Only,https://hacknjit.org,2021
74,hackPHS,Nov 7th - 8th,2020-11-07,2020-11-07,2020-11-08,"Everywhere, Worldwide",Digital Only,https://hackphs.tech,2021
75,HackRPI,Nov 7th - 8th,2020-11-07,2020-11-07,2020-11-08,"Everywhere, Worldwide",Digital Only,https://hackrpi.com/,2021
76,HackRU,Nov 7th - 8th,2020-11-07,2020-11-07,2020-11-08,"Everywhere, Worldwide",Digital Only,https://hackru.org/#home,2021
77,hackSheffield,Nov 7th - 8th,2020-11-07,2020-11-07,2020-11-08,"Everywhere, Worldwide",Digital Only,https://hacksheffield.com,2021
78,NewHacks,Nov 7th - 8th,2020-11-07,2020-11-07,2020-11-08,"Everywhere, Worldwide",Digital Only,https://ieee.utoronto.ca/newhacks/,2021
79,WHACK,Nov 7th - 8th,2020-11-07,2020-11-07,2020-11-08,"Everywhere, Worldwide",Digital Only,https://wellesleyhacks.org,2021
80,Code.Jam(2020),Nov 13th,2020-11-13,2020-11-13,2020-11-13,"Everywhere, Worldwide",Digital Only,https://codejam.mcgilleus.ca,2021
81,Creatica,Nov 13th - 15th,2020-11-13,2020-11-13,2020-11-15,"Everywhere, Worldwide",Digital Only,https://www.creatica.io/,2021
82,Do-Re-Mi Hacks,Nov 13th - 15th,2020-11-13,2020-11-13,2020-11-15,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/5725-do-re-mi-hacks,2021
83,HackUMBC,Nov 13th - 15th,2020-11-13,2020-11-13,2020-11-15,"Everywhere, Worldwide",Digital Only,https://www.hackumbc.org/,2021
84,BostonHacks,Nov 14th - 15th,2020-11-14,2020-11-14,2020-11-15,"Everywhere, Worldwide",Digital Only,https://bostonhacks.io,2021
85,Def Hacks Global 2.0,Nov 14th - 15th,2020-11-14,2020-11-14,2020-11-15,"Everywhere, Worldwide",Digital Only,https://defhacks.co/hack,2021
86,Oxford Hack 2020,Nov 14th - 15th,2020-11-14,2020-11-14,2020-11-15,"Everywhere, Worldwide",Digital Only,https://oxfordhack.co.uk/,2021
87,Give Back Hacks,Nov 20th - 22nd,2020-11-20,2020-11-20,2020-11-22,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/5726-give-back-hacks,2021
88,Hack Western,Nov 20th - 22nd,2020-11-20,2020-11-20,2020-11-22,"Everywhere, Worldwide",Digital Only,https://hackwestern.com,2021
89,UniHack,Nov 20th - 22nd,2020-11-20,2020-11-20,2020-11-22,"Everywhere, Worldwide",Digital Only,https://unihack.eu,2021
90,WWPHacks,Nov 21st - 22nd,2020-11-21,2020-11-21,2020-11-22,"Everywhere, Worldwide",Digital Only,https://wwphacks.com,2021
91,Who Wants To Be A Hackionaire?,Nov 27th - 29th,2020-11-27,2020-11-27,2020-11-29,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6033-who-wants-to-be-a-hackionaire,2021
92,SharkHacks,Dec 4th - 6th,2020-12-04,2020-12-04,2020-12-06,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6046-sharkhacks,2021
